model_id,method,category,record_count,image_count,language_risk_mean,language_risk_standard_deviation,language_risk_median,language_risk_p25,language_risk_p75,visual_risk_mean,visual_risk_standard_deviation,visual_risk_median,visual_risk_p25,visual_risk_p75,total_semantic_risk_mean,total_semantic_risk_standard_deviation,total_semantic_risk_median,total_semantic_risk_p25,total_semantic_risk_p75,visual_gain_mean
M1-root-none,M1,replace_relation,1219,677,0.45303061969848196,0.2448052527068146,0.4583269996470176,0.2686581871659132,0.62834711975622,0.4996128639217965,0.01702265591746526,0.49977086930259673,0.49184521360816646,0.5075415476842954,0.4522563475420749,0.24690042904602488,0.46302298523513397,0.26420170743387533,0.6244258343601511,0.0007742721564070699
M1-root-none,M1,swap_atribute,585,518,0.47710125346957794,0.10622397121589387,0.4776938100622536,0.4157825027980004,0.5380167577089935,0.5002100329092494,0.009783919933726423,0.4999046078358093,0.49522861453370104,0.5055500323684082,0.4775213192880767,0.10671096895323715,0.4798008876412617,0.4203740789482612,0.5398423929012099,-0.00042006581849872557
M1-root-none,M1,swap_object,215,194,0.49164586371877816,0.0963746974816809,0.4934230004677986,0.4431748672229068,0.552403872417325,0.500443593059036,0.010537694888503044,0.500572794237695,0.49467391337871924,0.5066784401403347,0.49253304983685003,0.09728344343205046,0.4992293967561568,0.43910346934442435,0.5501051315807763,-0.0008871861180718699
M2-root-43101,M2,replace_attribute,674,450,0.5079756778936931,0.2570870673683032,0.5188841361388765,0.33202150136059816,0.6912358263791664,0.50028668595954,0.019263100873714495,0.5002769181004985,0.4915386595056852,0.5095295801036752,0.508549049812773,0.2567794956379152,0.5086934256707476,0.3231773959587887,0.6883803636459208,-0.0005733719190799223
M2-root-43101,M2,replace_object,1414,711,0.528874772958963,0.2501537290123208,0.5317831214716287,0.33383895766416005,0.7307481306220851,0.4986123964120389,0.015392901353330293,0.4990964210292919,0.49172532344179065,0.5072364375456665,0.5260995657830407,0.24859835044096468,0.5367395924209697,0.33530512020720116,0.7236858415414957,0.002775207175922263
M2-root-43101,M2,replace_relation,1219,677,0.44686525619655576,0.24438035350514958,0.4383304894410449,0.2725934559221168,0.6168249076638863,0.5005821896734483,0.014084204211782744,0.4999343107266731,0.49359114456502107,0.5080530660774563,0.44802963554345226,0.24573591879046308,0.4408517921017562,0.26978083610914144,0.6218390284667057,-0.0011643793468965084
M2-root-43101,M2,swap_atribute,585,518,0.4777358212035385,0.10686149963624189,0.4757850072179158,0.42112320723913466,0.5410820876855823,0.4989516707572322,0.007679066098683708,0.49938710153334576,0.49506301396253954,0.5032872634120156,0.47563916271800283,0.10795623985434728,0.4774358614861977,0.41738575579875525,0.5375643325454669,0.0020966584855357058
M2-root-43101,M2,swap_object,215,194,0.48862605496895595,0.09862131547600066,0.49481906163073663,0.4380406961524613,0.5469385167436336,0.5002039550668418,0.0077681912231852505,0.4996641921863235,0.4959668511557345,0.5040801398520554,0.48903396510263963,0.09858412200906148,0.4928383196838714,0.4394145581310479,0.5497076658419362,-0.00040791013368368136
M2-root-43102,M2,replace_attribute,674,450,0.5057834050777924,0.25663993116814915,0.508206504110416,0.3209165534997479,0.6867254939475889,0.5001039202072493,0.01775109010385459,0.49990558928541706,0.4930385395193783,0.5074676555602056,0.5059912454922909,0.2582419855848853,0.5029694145465684,0.3225467652513295,0.6861034779652595,-0.00020784041449853667
M2-root-43102,M2,replace_object,1414,711,0.519026620907494,0.25436792061353997,0.523903121022946,0.3300077091089497,0.7101271986697668,0.499316251102424,0.014655418075097685,0.49902773333517203,0.49235895135557284,0.5065495753473432,0.517659123112342,0.25535186390304515,0.5281910783298589,0.32770327842504043,0.7142806940232926,0.001367497795151934
