model_id,budget,method,mapping_root,category,record_count,image_count,language_risk_mean,language_risk_standard_deviation_population,visual_risk_mean,visual_risk_standard_deviation_population,total_semantic_risk_mean,total_semantic_risk_standard_deviation_population,visual_gain_mean,visual_gain_standard_deviation_population
M2-current-seed-43101,current,M2,43101,swap_atribute,585,518,0.4777358212035385,0.10686149963624189,0.4989516707572322,0.007679066098683708,0.47563916271800283,0.10795623985434728,0.0020966584855357058,0.015358132197367416
M2-current-seed-43101,current,M2,43101,swap_object,215,194,0.48862605496895595,0.09862131547600066,0.5002039550668418,0.0077681912231852505,0.48903396510263963,0.09858412200906148,-0.00040791013368368136,0.015536382446370496
M3-current-seed-43101,current,M3,43101,replace_attribute,674,450,0.4999613656184592,0.25532291883470704,0.5003638748033147,0.0299112924245634,0.5006891152250887,0.261181046932553,-0.000727749606629495,0.0598225848491268
M3-current-seed-43101,current,M3,43101,replace_object,1414,711,0.5204236282759197,0.25634468622028755,0.5013878455827789,0.025548246760377598,0.5231993194414775,0.2608390700187892,-0.002775691165557812,0.05109649352075519
M3-current-seed-43101,current,M3,43101,replace_relation,1219,677,0.45585625335503943,0.2502108140333029,0.501155321594908,0.024133986341970635,0.45816689654485565,0.251360349293776,-0.0023106431898161973,0.04826797268394127
M3-current-seed-43101,current,M3,43101,swap_atribute,585,518,0.47735694115403215,0.10863778786230294,0.4990147068366484,0.013062323152145481,0.47538635482732877,0.10795273717365675,0.001970586326703347,0.026124646304290962
M3-current-seed-43101,current,M3,43101,swap_object,215,194,0.4874425003700701,0.10973056267409798,0.5020784476935628,0.011661614941560795,0.4915993957571957,0.10959966611372096,-0.004156895387125597,0.023323229883121587
M2-current-seed-43102,current,M2,43102,replace_attribute,674,450,0.5057834050777924,0.25663993116814915,0.5001039202072493,0.01775109010385459,0.5059912454922909,0.2582419855848853,-0.00020784041449853667,0.03550218020770918
M2-current-seed-43102,current,M2,43102,replace_object,1414,711,0.519026620907494,0.25436792061353997,0.499316251102424,0.014655418075097685,0.517659123112342,0.25535186390304515,0.001367497795151934,0.029310836150195366
M2-current-seed-43102,current,M2,43102,replace_relation,1219,677,0.44899876469431727,0.2477670183565155,0.5001913333170428,0.015391517823586302,0.4493814313284029,0.2490238144376655,-0.0003826666340856784,0.030783035647172604
M2-current-seed-43102,current,M2,43102,swap_atribute,585,518,0.47360471740767324,0.11410581548336722,0.49970717255113034,0.008007234480572395,0.4730190625099338,0.11428280048189311,0.0005856548977393792,0.01601446896114479
M2-current-seed-43102,current,M2,43102,swap_object,215,194,0.4916077175158514,0.10956141245818757,0.49942777320341447,0.007528384866486438,0.49046326392268036,0.10933104024806449,0.001144453593171069,0.015056769732972874
M3-current-seed-43102,current,M3,43102,replace_attribute,674,450,0.5100597499416096,0.26570727860714316,0.5006040801487122,0.02757701473823259,0.5112679102390338,0.269779784566096,-0.001208160297424303,0.05515402947646519
M3-current-seed-43102,current,M3,43102,replace_object,1414,711,0.524794057372024,0.25457231926372,0.5001997177308753,0.02263619526675999,0.5251934928337746,0.25432354765135845,-0.0003994354617506602,0.045272390533519974
